期号	红球1	红球2	红球3	红球4	红球5	红球6
2015101	8	16	22	24	28	29
2015102	7	9	12	14	21	23
2015103	6	8	13	26	30	32
2015104	9	18	21	23	25	26
2015105	9	10	16	19	20	26
2015106	1	3	4	23	31	32
2015107	7	14	16	18	21	25
2015108	2	12	19	22	24	27
2015109	1	8	9	16	32	33
2015110	5	7	16	17	22	23
2015111	8	14	16	18	20	30
2015112	1	3	10	19	20	27
2015113	1	5	7	8	19	27
2015114	4	7	9	13	21	26
2015115	1	7	8	14	24	32
2015116	4	6	15	23	26	28
2015117	4	11	12	18	26	32
2015118	1	4	11	21	23	31
2015119	2	8	10	18	23	31
2015120	16	21	24	26	27	29
2015121	1	3	20	21	28	29
2015122	5	7	11	16	22	25
2015123	5	8	9	12	22	28
2015124	2	3	5	12	18	27
2015125	5	13	22	27	30	33
2015126	10	11	15	20	23	29
2015127	7	10	19	22	27	33
2015128	1	3	8	11	22	28
2015129	5	8	11	16	18	27
2015130	6	14	15	16	17	22
2015131	10	12	13	19	22	26
2015132	3	5	11	28	30	33
2015133	2	3	13	20	22	24
2015134	2	5	14	19	27	31
2015135	1	12	14	18	26	32
2015136	2	5	12	23	28	29
2015137	14	22	23	27	28	31
2015138	1	2	8	16	19	24
2015139	1	10	13	18	25	27
2015140	6	20	28	29	30	31
2015141	3	8	19	25	27	28
2015142	13	17	19	20	22	25
2015143	13	15	19	20	21	32
2015144	1	4	7	15	28	32
2015145	7	8	15	19	20	24
2015146	16	17	21	28	30	32
2015147	8	9	16	23	24	30
2015148	9	13	14	22	26	27
2015149	9	10	20	21	22	33
2015150	1	3	8	11	29	31
2015151	5	6	8	23	31	32
2015152	11	18	19	21	29	32
2015153	8	11	15	22	27	29
2015154	7	9	11	15	18	25
2016001	6	13	16	18	20	22
2016002	9	14	17	20	24	30
2016003	1	10	14	23	26	28
2016004	8	10	17	22	25	33
2016005	11	14	18	20	31	33
2016006	13	16	18	20	28	31
2016007	5	12	14	20	27	29
2016008	2	15	24	29	32	33
2016009	10	14	24	25	27	32
2016010	2	4	12	14	19	25
2016011	3	8	10	15	22	29
2016012	7	12	14	16	27	32
2016013	7	12	21	22	26	31
2016014	2	8	10	18	20	27
2016015	1	2	14	22	25	26
2016016	1	20	22	24	25	26
2016017	5	6	8	20	22	30
2016018	12	13	14	17	21	25
2016019	6	13	16	17	23	30
2016020	1	2	10	12	22	24
2016021	9	11	13	22	24	26
2016022	4	9	19	22	23	30
2016023	3	6	10	19	25	29
2016024	2	5	7	14	18	31
2016025	4	11	12	17	24	30
2016026	4	9	12	28	30	33
2016027	11	13	15	17	19	31
2016028	6	8	12	21	25	29
2016029	12	15	18	20	21	27
2016030	10	14	19	22	25	29
2016031	3	8	10	19	26	33
2016032	8	12	14	15	21	27
2016033	6	17	18	20	27	29
2016034	3	15	21	22	23	28
2016035	4	13	19	20	26	29
2016036	3	4	7	9	20	22
2016037	6	15	26	31	32	33
2016038	3	12	13	22	28	29
2016039	1	3	7	18	19	27
2016040	3	13	19	20	23	26
2016041	12	17	18	21	22	24
2016042	7	14	17	23	26	31
2016043	5	14	20	26	30	33
2016044	1	3	10	12	18	30
2016045	4	9	12	17	30	32
2016046	7	20	25	26	27	30
2016047	2	5	8	15	17	22
2016048	3	8	13	14	15	30
2016049	6	8	13	14	22	27
2016050	9	12	24	28	29	30
2016051	1	2	4	9	15	33
2016052	1	6	13	19	24	28
2016053	2	8	10	12	29	31
2016054	6	11	16	19	28	32
2016055	5	6	10	16	22	26
2016056	3	4	8	11	16	18
2016057	7	12	19	22	23	26
2016058	3	5	18	20	24	32
2016059	4	11	12	20	25	28
2016060	4	5	22	26	29	32
2016061	5	6	8	18	20	32
2016062	12	13	15	18	19	21
2016063	16	17	18	23	28	32
2016064	3	12	14	17	19	26
2016065	13	16	22	25	26	27
2016066	3	7	13	18	19	20
2016067	9	13	18	20	27	31
2016068	8	19	23	28	31	32
2016069	8	10	11	20	21	27
2016070	3	6	11	18	23	29
2016071	19	21	26	28	29	32
2016072	5	16	19	22	24	25
2016073	9	11	12	15	16	20
2016074	6	10	11	12	20	25
2016075	1	3	6	16	29	32
2016076	7	8	13	22	30	32
2016077	1	9	17	19	20	29
2016078	2	4	8	23	26	29
2016079	1	3	10	12	24	28
2016080	1	16	17	24	25	32
2016081	2	6	15	25	30	32
2016082	6	12	14	15	17	20
2016083	9	16	17	24	30	31
2016084	2	4	12	18	24	26
2016085	1	12	19	20	21	25
2016086	9	10	11	12	15	32
2016087	2	3	10	11	14	21
2016088	3	14	16	18	25	33
2016089	1	3	14	30	31	32
2016090	2	13	17	20	21	26
2016091	4	8	14	22	23	28
2016092	2	13	15	23	24	29
2016093	6	9	15	17	25	27
2016094	6	7	10	12	18	31
2016095	1	5	9	12	18	32
2016096	6	13	14	21	22	24
2016097	6	13	25	26	28	31
2016098	2	8	25	29	31	32
2016099	1	11	21	23	27	33
